training on 8000 cases, 8 epochs
  epoch 1 step 25/3600 loss 1.1474
  epoch 1 step 50/3600 loss 1.1184
  epoch 1 step 75/3600 loss 1.0551
  epoch 1 step 100/3600 loss 1.0140
  epoch 1 step 125/3600 loss 0.9995
  epoch 1 step 150/3600 loss 0.9870
  epoch 1 step 175/3600 loss 0.9891
  epoch 1 step 200/3600 loss 0.9823
  epoch 1 step 225/3600 loss 0.9757
  epoch 1 step 250/3600 loss 0.9691
  epoch 1 step 275/3600 loss 0.9593
  epoch 1 step 300/3600 loss 0.9529
  epoch 1 step 325/3600 loss 0.9452
  epoch 1 step 350/3600 loss 0.9367
  epoch 1 step 375/3600 loss 0.9329
  epoch 1 step 400/3600 loss 0.9274
  epoch 1 step 425/3600 loss 0.9278
  epoch 1 step 450/3600 loss 0.9310
  epoch 1/8: loss 0.9310 val 0.9337 (152s, 47.2 cases/s)
  epoch 2 step 475/3600 loss 0.9442
  epoch 2 step 500/3600 loss 0.9324
  epoch 2 step 525/3600 loss 0.8927
  epoch 2 step 550/3600 loss 0.8947
  epoch 2 step 575/3600 loss 0.8878
  epoch 2 step 600/3600 loss 0.8832
