training on 8000 cases, 8 epochs
  epoch 1 step 25/3600 loss 1.1462
  epoch 1 step 50/3600 loss 1.1210
  epoch 1 step 75/3600 loss 1.0419
  epoch 1 step 100/3600 loss 1.0104
  epoch 1 step 125/3600 loss 0.9814
  epoch 1 step 150/3600 loss 0.9614
  epoch 1 step 175/3600 loss 0.9482
  epoch 1 step 200/3600 loss 0.9405
  epoch 1 step 225/3600 loss 0.9320
  epoch 1 step 250/3600 loss 0.9315
  epoch 1 step 275/3600 loss 0.9295
  epoch 1 step 300/3600 loss 0.9307
  epoch 1 step 325/3600 loss 0.9253
  epoch 1 step 350/3600 loss 0.9190
  epoch 1 step 375/3600 loss 0.9141
  epoch 1 step 400/3600 loss 0.9108
  epoch 1 step 425/3600 loss 0.9087
  epoch 1 step 450/3600 loss 0.9073
  epoch 1/8: loss 0.9073 val 0.8664 (142s, 50.5 cases/s)
  epoch 2 step 475/3600 loss 0.8471
  epoch 2 step 500/3600 loss 0.8514
  epoch 2 step 525/3600 loss 0.8416
  epoch 2 step 550/3600 loss 0.8386
  epoch 2 step 575/3600 loss 0.8356
  epoch 2 step 600/3600 loss 0.8369
  epoch 2 step 625/3600 loss 0.8372
  epoch 2 step 650/3600 loss 0.8346
  epoch 2 step 675/3600 loss 0.8348
